,fft_coefficient_0,fft_coefficient_1,fft_coefficient_2,fft_coefficient_3,fft_coefficient_4,fft_coefficient_5,dwt_coef_0,dwt_coef_1,dwt_coef_2,dwt_coef_3,dwt_coef_4,dwt_coef_5,dwt_coef_6,dwt_coef_7,dwt_coef_8,dwt_coef_9,spkt_coef_0,spkt_coef_1,spkt_coef_2,ts_coef_0,ts_coef_1,ts_coef_2,ts_coef_3,ts_coef_4
0,0.2337790395436945,0.0,0.6072003921800198,0.7545988665456552,1.0,0.04174904579120542,0.8058180531143424,0.34289822937097075,0.6173991204261964,0.2624280839125405,0.38859907306967684,0.181925603609896,0.7963476422626674,0.10563848675585158,0.0,0.06641465113891676,0.4576243617895501,0.9999999999999999,0.01221304352665073,0.16472046715677469,0.09219541770562412,0.7007627806538713,0.35910702293032415,0.7593126960440739
1,0.16391872359104354,0.04604870477833217,0.6188977129269166,0.6911333376524164,0.929365367885731,0.0788106655187503,0.851186784985689,0.333860639621891,0.5997258020705056,0.2525460245339552,0.3327943337803327,0.170181559885979,0.76328100303103,0.09248030036611549,0.046546057993107876,0.052506192660711326,0.3380670094216155,0.7323023445999577,0.025913740944124918,0.09459279153834732,0.0,0.8161279830072454,0.3168499737856685,0.8190632944847076
2,0.10577796084695668,0.08168902473554543,0.5919893404893437,0.5257135793182975,0.8556799685121108,0.06796945912445262,0.9090670574018322,0.285551878217812,0.6191553542371921,0.20309157125247235,0.27405603952609264,0.11856685475416046,0.7192328352807638,0.03911767467388361,0.07150483571974045,0.0,0.2853563668638767,0.6110758880015045,0.03444108945768047,0.054151664304313174,0.046644623772786,0.8328394031802384,0.3683496344478012,0.8176780556877263
3,0.058632391886022095,0.20464281329605505,0.5103964096085146,0.22503445448325055,0.7835903806752802,0.09832205899656762,0.956590491859209,0.3119066201075988,0.5938233485500133,0.2321173265561654,0.2198445680407955,0.14982862742703407,0.6857927768890508,0.07380005006773294,0.08841079285803613,0.036846117617340246,0.2139579003682008,0.5024963729187356,0.0533984423528794,0.025311111042497614,0.10953523585426383,0.9072325935792169,0.19256135734810442,0.8959410092326552
4,0.0,0.27681618369766875,0.5669988938979772,0.0,0.7317379614693561,0.12476632885355488,0.995507681106356,0.3541547304809866,0.5312904810115724,0.26966658492864964,0.1556216951181414,0.1837441812051303,0.6796703246605704,0.10498484764131394,0.14281272599384018,0.06440290702092655,0.2016087683182607,0.46215648674049603,0.06645439774272734,0.0,0.1354309223825707,1.0,0.08392264548144368,1.0
5,0.0009790212779148266,0.3974459655732512,0.6926167934631735,0.0825775516976478,0.6503779601909525,0.12436013974584773,1.0,0.5268399579250661,0.21774118196866366,0.45022585418509886,0.06263928435809407,0.37080078756734897,0.8227075328567217,0.29996043099224573,0.3480353529337952,0.2593945772655293,0.09826133729954944,0.3445044840196371,0.09585411936391675,0.013516936260836832,0.21899356006982273,0.9180011903735259,0.0,0.998469907282258
6,0.14946328960607191,0.45491341494663373,0.5139700429941861,0.036212702134789665,0.47125843482758234,0.1439489071346009,0.9810589210711236,0.5533327133560781,0.04154480335250299,0.4955134831103669,0.01386611492452361,0.43159734109135556,0.912965257764998,0.3774796708657972,0.538807093868148,0.35155373334188,0.00901513859674681,0.19046932265957547,0.1830345080371574,0.1660810535576741,0.5324702260468763,0.6573372261198289,0.10299417702452551,0.8385189483131379
7,0.21646897111787688,0.44081137767989503,0.5337386203197069,0.3208275291237469,0.39032101962591004,0.15998786142603888,0.9688616507584309,0.513804287045662,0.02585515192301835,0.4647984509554285,0.0,0.40637380483078517,0.914399217573866,0.36014870711420294,0.6370712090161061,0.3427913057639156,0.038149621390742856,0.07704950093893671,0.29340821326936223,0.21660126197381213,0.5143580030040487,0.6210117320543189,0.21391533688023046,0.8031802150171468
8,0.3029037171645339,0.4932321009519286,0.7477060016968993,0.6131801550070861,0.34071022505245185,0.06208280567305008,0.9358834699740621,0.5118989093440514,0.0,0.47307303486182495,0.025959977092628095,0.4222121981367826,0.9713944029641852,0.3825542596337342,0.6972888610340264,0.3718373913200824,0.046883588316500434,0.10310061109806605,0.46686682456814516,0.30605051279267104,0.6270766075128047,0.45611022687478264,0.418612799495115,0.6923534573298114
9,0.3888589314321127,0.5661559350641181,1.0,0.9044852085202593,0.2612019795601242,0.0,0.8746215378264353,0.4632774812144258,0.03842593593115873,0.4254774431352172,0.08104299052656427,0.37375327739734515,1.0,0.3318654147254653,0.7714784422076917,0.32196029182392905,0.0,0.2193571239331531,0.37669146640778123,0.4372216370191301,0.9999999999999996,0.20849733783163144,0.4600155607679497,0.5299696638763813
